Sample ID,Sample Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Metadata Submission,Comments
SM-D9D77_S88_E1-50,whole cell,mouse,ncbi:txid10090,570922781,cellgroup,299151,56 days,female,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D77_S94_E1-50,whole cell,mouse,ncbi:txid10090,570922835,cellgroup,299151,56 days,female,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D77_S95_E1-50,whole cell,mouse,ncbi:txid10090,570922835,cellgroup,299151,56 days,female,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S41_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S42_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S43_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S44_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S45_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S46_E1-50,whole cell,mouse,ncbi:txid10090,572740485,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S47_E1-50,whole cell,mouse,ncbi:txid10090,572740488,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S48_E1-50,whole cell,mouse,ncbi:txid10090,572740488,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S49_E1-50,whole cell,mouse,ncbi:txid10090,572740488,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S50_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S51_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S52_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S53_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S54_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S55_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7M_S56_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S49_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S50_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S51_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S52_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S53_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S54_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S55_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7N_S56_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S33_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S34_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S35_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S36_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S37_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S38_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S39_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S40_E1-50,whole cell,mouse,ncbi:txid10090,572740490,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S41_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S42_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S43_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S44_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S45_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S46_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S47_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7O_S48_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7Q_S89_E1-50,whole cell,mouse,ncbi:txid10090,572740499,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7Q_S90_E1-50,whole cell,mouse,ncbi:txid10090,572740499,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7Q_S94_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7Q_S95_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D7Q_S96_E1-50,whole cell,mouse,ncbi:txid10090,572740496,cellgroup,301968,54 days,female,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9D87_S91_E1-50,whole cell,mouse,ncbi:txid10090,575171483,cellgroup,304382,53 days,female,Esr2-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,transcriptomics,transcriptomics,CTXsp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9E5J_S81_E1-50,whole cell,mouse,ncbi:txid10090,531344344,cellgroup,259163,56 days,male,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9E5J_S82_E1-50,whole cell,mouse,ncbi:txid10090,531344344,cellgroup,259163,56 days,male,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9E5J_S83_E1-50,whole cell,mouse,ncbi:txid10090,531344344,cellgroup,259163,56 days,male,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-D9E5J_S84_E1-50,whole cell,mouse,ncbi:txid10090,531344344,cellgroup,259163,56 days,male,Pvalb-T2A-CreERT2/wt;Ai139(TIT2L-GFP-ICL-TPT)-hyg/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S57_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S58_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S59_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S60_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S61_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S62_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S63_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S64_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S65_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S66_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S67_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S68_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S69_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S70_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S71_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S72_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S73_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S74_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S75_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S76_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S77_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S78_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S79_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-DAIGP_S80_E1-50,whole cell,mouse,ncbi:txid10090,596868476,cellgroup,326318,58 days,female,Fezf2-CreER/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
